year,city,country,avg_temp
1956,Dhaka,Bangladesh,25.63
1957,Dhaka,Bangladesh,25.95
1958,Dhaka,Bangladesh,26.53
1959,Dhaka,Bangladesh,25.62
1960,Dhaka,Bangladesh,26.11
1961,Dhaka,Bangladesh,25.72
1962,Dhaka,Bangladesh,25.71
1963,Dhaka,Bangladesh,25.82
1964,Dhaka,Bangladesh,26.05
1965,Dhaka,Bangladesh,25.75
1966,Dhaka,Bangladesh,26.17
1967,Dhaka,Bangladesh,25.70
1968,Dhaka,Bangladesh,25.67
1969,Dhaka,Bangladesh,25.91
1970,Dhaka,Bangladesh,25.90
1971,Dhaka,Bangladesh,25.27
1972,Dhaka,Bangladesh,25.89
1973,Dhaka,Bangladesh,25.91
1974,Dhaka,Bangladesh,25.68
1975,Dhaka,Bangladesh,25.77
1976,Dhaka,Bangladesh,25.94
1977,Dhaka,Bangladesh,25.81
1978,Dhaka,Bangladesh,25.72
1979,Dhaka,Bangladesh,26.45
1980,Dhaka,Bangladesh,25.99
1981,Dhaka,Bangladesh,25.52
1982,Dhaka,Bangladesh,25.80
1983,Dhaka,Bangladesh,25.80
1984,Dhaka,Bangladesh,25.70
1985,Dhaka,Bangladesh,26.16
1986,Dhaka,Bangladesh,26.03
1987,Dhaka,Bangladesh,26.40
1988,Dhaka,Bangladesh,26.37
1989,Dhaka,Bangladesh,26.05
1990,Dhaka,Bangladesh,25.98
1991,Dhaka,Bangladesh,25.85
1992,Dhaka,Bangladesh,25.86
1993,Dhaka,Bangladesh,25.73
1994,Dhaka,Bangladesh,25.91
1995,Dhaka,Bangladesh,26.09
1996,Dhaka,Bangladesh,26.15
1997,Dhaka,Bangladesh,25.55
1998,Dhaka,Bangladesh,26.13
1999,Dhaka,Bangladesh,26.31
2000,Dhaka,Bangladesh,25.91
2001,Dhaka,Bangladesh,25.93
2002,Dhaka,Bangladesh,26.10
2003,Dhaka,Bangladesh,25.93
2004,Dhaka,Bangladesh,26.14
2005,Dhaka,Bangladesh,26.19
2006,Dhaka,Bangladesh,26.44
2007,Dhaka,Bangladesh,25.95
2008,Dhaka,Bangladesh,26.00
2009,Dhaka,Bangladesh,26.54
2010,Dhaka,Bangladesh,26.65
2011,Dhaka,Bangladesh,25.80
2012,Dhaka,Bangladesh,26.28
2013,Dhaka,Bangladesh,26.59
